,explicit,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,days_since_1900
88,0,56,0.667,0.663,9,-10.577,1,0.0346,0.456,0.00316,0.703,0.507,118.947,181000,4,13,42690
89,0,47,0.602,0.882,7,-6.656,0,0.055,0.0531,0.0107,0.0951,0.847,113.352,209587,4,1,32067
90,0,0,0.553,0.599,0,-8.146,1,0.0297,0.285,0.0,0.191,0.447,123.26,210640,4,18,35429
91,0,0,0.584,0.526,9,-10.08,0,0.0391,0.475,6.52e-05,0.0756,0.641,82.028,204187,4,8,38641
92,0,42,0.532,0.401,4,-11.053,0,0.0242,0.634,0.00108,0.111,0.279,78.963,288280,4,18,34713
93,1,70,0.932,0.547,0,-7.787,0,0.333,0.0388,0.0,0.0924,0.695,94.998,176640,4,16,43684
94,0,1,0.293,0.276,7,-11.353,1,0.0351,0.229,0.119,0.167,0.196,121.603,267187,4,18,35576
95,0,63,0.679,0.374,11,-10.565,0,0.0482,0.402,2.49e-05,0.0541,0.871,80.86,306800,4,20,28356
96,1,74,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,230400,4,16,43481
97,0,79,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,211667,4,4,42396
98,0,0,0.402,0.942,7,-3.131,1,0.14,0.0287,0.000228,0.56,0.813,124.418,136667,4,14,39208
99,0,0,0.65,0.754,10,-10.25,1,0.0894,0.775,2.3e-06,0.114,0.933,74.328,169787,4,3,41108
100,1,19,0.763,0.362,6,-10.113,1,0.572,0.803,4.67e-06,0.16,0.587,119.855,160655,5,15,43271
101,0,67,0.652,0.593,11,-8.481,1,0.0421,0.0942,0.0,0.116,0.158,101.982,196312,4,13,44496
102,0,0,0.72,0.425,5,-17.998,0,0.154,0.108,0.00275,0.149,0.926,141.464,261293,4,18,39737
103,0,1,0.602,0.987,10,-8.37,0,0.0391,1.25e-05,0.761,0.635,0.0463,135.992,464667,4,21,43771
104,0,4,0.567,0.945,9,-6.203,1,0.0702,0.571,0.0,0.153,0.568,94.335,80200,4,14,35553
105,0,22,0.343,0.316,4,-18.208,1,0.042,0.791,0.838,0.0835,0.169,101.798,46280,4,18,38304
106,0,62,0.81,0.511,0,-6.454,1,0.0409,0.0778,0.000226,0.0714,0.858,113.153,265678,4,18,28854
107,0,74,0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218,179600,4,18,27339
108,0,37,0.719,0.45,1,-13.445,1,0.0259,0.212,0.0,0.0951,0.563,113.647,376307,4,20,30680
109,0,0,0.641,0.719,7,-8.758,1,0.0249,0.202,0.0027,0.125,0.846,132.769,383333,4,18,36831
110,0,1,0.704,0.543,5,-11.585,1,0.0435,0.715,0.00049,0.0409,0.965,100.594,267333,4,19,32141
111,1,4,0.756,0.786,4,-8.78,0,0.281,0.399,0.000111,0.0976,0.793,94.002,212547,4,9,43145
112,1,51,0.738,0.483,9,-10.664,1,0.331,0.213,0.0,0.197,0.59,96.978,213560,4,9,42340
113,0,31,0.761,0.75,8,-7.498,0,0.119,0.000582,0.845,0.0789,0.179,127.136,201905,4,6,44314
114,1,0,0.904,0.706,11,-3.393,0,0.169,0.0328,1.12e-06,0.163,0.103,94.002,194025,4,9,43075
115,1,58,0.65,0.589,11,-8.02,0,0.0649,0.375,3.57e-05,0.128,0.438,160.031,183484,4,13,43901
116,0,21,0.731,0.905,7,-11.28,0,0.0692,0.00812,0.808,0.101,0.388,129.001,369253,4,21,43271
117,0,59,0.254,0.0877,6,-9.996,1,0.0382,0.805,2.9e-05,0.137,0.0907,68.991,281440,4,13,43278
118,0,48,0.709,0.464,7,-8.481,1,0.0287,0.534,0.575,0.0833,0.556,113.983,213633,4,13,43144
119,0,11,0.356,0.907,4,-5.186,0,0.0976,0.00323,0.00179,0.104,0.416,100.289,120267,4,14,42550
120,0,0,0.835,0.625,4,-5.142,0,0.0422,0.748,0.0233,0.138,0.843,129.038,189361,4,10,42417
121,1,19,0.643,0.75,7,-6.24,1,0.243,0.00605,0.0,0.335,0.405,148.029,293494,4,9,42228
122,1,12,0.263,0.94,11,-5.734,0,0.0754,8.72e-06,0.374,0.556,0.221,99.525,68213,4,14,31046
123,0,0,0.474,0.811,11,-1.582,1,0.418,0.00796,1.02e-05,0.118,0.427,128.653,320933,4,6,39446
124,1,49,0.739,0.79,2,-5.307,1,0.103,0.0674,0.0,0.352,0.652,96.055,213373,4,9,42683
125,0,45,0.408,0.354,4,-12.447,1,0.0377,0.373,0.0,0.263,0.415,104.877,168093,4,13,37620
126,0,59,0.634,0.775,7,-4.09,1,0.0346,0.00856,0.0,0.28,0.539,123.977,183710,4,13,42746
127,0,54,0.629,0.834,0,-3.559,1,0.0597,0.0564,0.0,0.102,0.669,84.0,206600,4,3,41378
128,1,68,0.88,0.787,8,-5.189,1,0.118,0.226,0.0,0.12,0.588,113.018,264834,4,9,44020
129,0,40,0.287,0.914,3,-6.056,1,0.058,0.0457,0.469,0.376,0.173,95.02,279267,4,13,34333
130,0,40,0.362,0.896,2,-6.812,1,0.0338,3e-06,0.79,0.355,0.713,136.083,213027,4,18,25567
131,0,49,0.321,0.647,3,-6.514,1,0.0274,0.062,4.72e-05,0.288,0.287,104.345,282333,1,4,38152
132,0,0,0.85,0.94,8,-3.428,1,0.036,0.113,0.435,0.0697,0.897,122.047,158907,4,18,43236
133,0,53,0.666,0.74,7,-7.606,1,0.031,0.0185,0.0,0.0741,0.826,120.056,172307,4,8,42648
134,0,0,0.571,0.954,2,-3.399,0,0.0464,0.000432,0.0014,0.058,0.53,123.051,233080,4,12,43170
135,1,68,0.732,0.462,5,-10.191,0,0.406,0.126,0.0,0.12,0.117,180.067,170057,4,9,43964
136,0,0,0.576,0.901,9,-7.55,1,0.514,0.379,0.0,0.949,0.665,95.838,236427,4,9,37985
137,0,58,0.426,0.541,2,-4.465,0,0.0543,0.162,0.0,0.0806,0.203,164.247,314818,4,7,44152
138,0,0,0.268,0.406,5,-10.232,1,0.0276,0.0495,0.0066,0.113,0.104,76.432,228533,4,18,35596
139,0,60,0.589,0.611,0,-5.881,0,0.0459,0.0151,0.0,0.0757,0.121,76.006,203107,4,13,42326
140,0,52,0.419,0.139,11,-12.401,1,0.0383,0.926,2.02e-05,0.112,0.235,142.192,227472,3,13,41826
141,0,0,0.74,0.776,0,-5.242,1,0.0408,0.0618,0.697,0.355,0.27,130.003,388813,4,6,37255
142,0,57,0.421,0.991,8,-3.678,1,0.124,3.81e-06,0.0466,0.13,0.446,159.998,234387,4,13,43901
143,1,68,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,196267,4,9,43579
144,0,26,0.873,0.168,7,-14.465,1,0.0454,0.848,5.04e-05,0.153,0.776,114.65,178467,4,0,34333
145,0,0,0.524,0.88,0,-3.865,1,0.0987,0.404,0.000191,0.154,0.758,148.058,140173,4,18,36841
146,0,50,0.508,0.886,8,-6.074,1,0.0408,0.009,2.13e-06,0.136,0.79,160.11,218013,4,12,39214
147,0,24,0.158,0.878,1,-7.313,0,0.0888,0.00117,2.46e-06,0.183,0.291,190.406,171387,4,14,31411
148,0,0,0.334,0.79,10,-7.249,1,0.0422,8.84e-06,0.00199,0.0755,0.727,161.025,189920,4,13,41244
149,1,22,0.563,0.377,7,-10.768,0,0.0282,0.666,0.0408,0.0962,0.239,102.017,190827,4,18,36829
150,1,54,0.796,0.467,11,-6.293,1,0.34,0.202,3.32e-05,0.206,0.4,179.974,173760,3,9,43523
151,0,0,0.599,0.818,10,-9.033,1,0.0382,0.69,0.0,0.115,0.97,93.07,150287,4,13,21184
152,0,75,0.573,0.739,0,-5.74,1,0.129,0.0285,0.0,0.111,0.451,97.085,230227,4,15,42319
153,0,63,0.736,0.449,10,-7.956,0,0.0633,0.506,6.63e-05,0.117,0.487,147.971,202280,4,6,42997
154,0,46,0.761,0.779,7,-7.792,1,0.223,0.0626,0.0,0.256,0.884,166.951,181347,4,16,34680
155,1,0,0.559,0.678,4,-7.804,0,0.0392,9.33e-06,0.00034,0.811,0.344,134.959,226733,4,12,35794
156,0,0,0.663,0.355,4,-11.579,0,0.0312,0.93,0.0137,0.27,0.738,116.437,176627,4,8,38521
157,0,42,0.683,0.86,11,-6.59,1,0.371,0.0435,3.38e-05,0.104,0.872,94.886,155500,4,16,44271
158,0,34,0.635,0.684,9,-8.916,0,0.334,0.434,0.000278,0.0784,0.423,82.003,147387,4,4,41426
159,0,0,0.609,0.604,4,-5.518,0,0.118,0.118,0.0191,0.356,0.497,124.447,402093,4,13,39242
160,1,2,0.402,0.421,9,-12.455,1,0.0661,0.748,0.0176,0.114,0.502,83.033,81721,4,14,42052
161,0,62,0.519,0.638,8,-5.226,1,0.0942,0.683,0.0,0.0561,0.67,124.878,284893,4,0,20758
162,1,10,0.306,0.912,4,-8.673,0,0.0768,6.52e-05,0.00891,0.288,0.489,77.998,221067,4,14,30680
163,0,8,0.364,0.893,9,-8.797,0,0.0653,2.49e-05,0.000176,0.131,0.653,147.147,140373,4,14,38872
164,0,34,0.432,0.383,8,-12.684,1,0.0322,0.829,8.61e-06,0.127,0.546,140.62,183440,4,2,24106
165,0,66,0.586,0.659,0,-7.92,0,0.0304,0.011,0.0,0.106,0.147,111.989,285960,4,18,36159
166,1,68,0.579,0.579,11,-6.787,0,0.394,0.387,0.0,0.17,0.842,104.757,181413,4,9,42865
167,0,54,0.632,0.849,9,-8.282,1,0.0351,0.167,0.0389,0.571,0.939,123.092,244686,4,18,27447
168,0,0,0.87,0.459,0,-6.357,1,0.0619,0.00125,0.0104,0.11,0.289,127.985,285667,4,13,40299
169,0,36,0.821,0.717,9,-10.635,0,0.0465,0.00287,0.57,0.105,0.617,119.972,324787,4,7,37620
170,0,44,0.767,0.605,6,-5.737,0,0.188,0.559,0.000363,0.193,0.657,107.042,203200,4,4,43684
171,0,0,0.57,0.503,3,-9.381,1,0.0427,0.668,0.274,0.116,0.469,89.98,276893,4,8,36275
172,0,0,0.443,0.737,0,-4.509,1,0.0293,0.00149,0.0032,0.121,0.746,115.277,312227,4,13,41559
173,0,36,0.568,0.977,1,-2.121,1,0.0356,0.000893,0.699,0.0587,0.0856,128.016,184687,4,13,42049
174,1,76,0.385,0.757,0,-5.96,1,0.167,0.709,0.0,0.235,0.469,82.673,194595,4,9,43248
175,0,51,0.722,0.932,5,-4.761,1,0.0371,0.158,0.0,0.0914,0.802,131.473,266147,4,18,43047
176,1,61,0.862,0.65,10,-6.978,0,0.355,0.0207,0.0,0.568,0.658,131.194,115350,4,16,43901
177,0,64,0.68,0.53,11,-13.105,0,0.0889,0.417,0.011,0.0559,0.352,124.551,266013,4,18,26009
178,0,46,0.515,0.854,9,-7.319,0,0.0382,0.0071,1.36e-06,0.345,0.828,94.338,272040,4,18,28641
179,0,41,0.559,0.713,4,-4.264,0,0.033,0.0538,0.0,0.273,0.656,81.01,197040,4,3,39081
180,0,0,0.58,0.491,0,-6.462,1,0.0251,0.575,0.0,0.121,0.425,76.009,232107,4,13,39012
181,0,22,0.579,0.79,11,-4.683,0,0.0468,0.00399,0.135,0.101,0.233,144.998,241702,4,16,42326
182,0,0,0.546,0.578,2,-8.745,1,0.0406,0.0114,6.54e-05,0.0692,0.819,128.037,238907,4,18,28854
183,0,38,0.443,0.69,7,-7.159,1,0.0328,0.113,9.75e-06,0.144,0.641,115.922,207440,4,1,36524
184,0,74,0.721,0.339,0,-11.195,1,0.0532,0.409,0.00153,0.0973,0.2,129.83,200747,4,15,41098
185,0,70,0.356,0.143,9,-15.148,1,0.0388,0.976,1.89e-05,0.111,0.334,75.522,99658,4,16,43173
186,0,31,0.707,0.86,2,-5.664,1,0.0691,0.00833,0.89,0.17,0.27,106.985,254720,4,6,41857
187,1,34,0.869,0.816,7,-6.224,1,0.235,0.0501,0.0242,0.0964,0.395,103.87,231889,4,9,33602
188,1,21,0.57,0.924,8,-3.032,0,0.201,0.00299,0.103,0.0495,0.517,149.913,267200,4,13,42732
189,0,0,0.473,0.614,5,-10.31,1,0.0604,0.136,1.58e-05,0.135,0.896,78.943,243600,4,13,39446
190,0,3,0.612,0.57,11,-6.642,0,0.0347,0.279,0.0,0.0963,0.335,77.004,197293,4,3,43530
191,1,56,0.776,0.715,5,-6.587,0,0.0505,0.0971,0.0131,0.247,0.502,99.951,231813,4,6,42312
192,0,0,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,13,38955
193,0,55,0.639,0.895,5,-3.082,1,0.0427,0.112,0.0,0.362,0.527,118.672,208533,4,13,40907
194,0,60,0.641,0.824,6,-3.706,0,0.0272,0.0624,0.0621,0.258,0.257,115.003,166973,4,7,42702
195,1,67,0.704,0.642,1,-10.11,1,0.39,0.00704,1.43e-06,0.161,0.72,92.09,209973,4,9,35008
196,1,64,0.866,0.714,6,-6.107,1,0.22,0.00612,1.88e-05,0.0787,0.384,108.005,163143,4,9,43648
197,1,67,0.424,0.937,7,-4.448,1,0.156,0.00017,0.0,0.31,0.427,170.058,158022,4,16,44377
198,0,84,0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,185733,4,18,25470
199,0,11,0.713,0.801,1,-8.098,1,0.059,0.119,2.41e-05,0.136,0.855,100.08,203320,4,9,38844
200,0,0,0.43,0.474,7,-12.908,1,0.0277,0.14,0.00808,0.344,0.565,78.966,235667,4,3,25202
201,0,12,0.497,0.921,7,-5.802,0,0.26,0.000555,0.688,0.897,0.0561,144.966,215172,4,6,42445
202,1,55,0.587,0.542,5,-7.876,1,0.034,0.0014,0.0,0.0906,0.371,89.991,223147,4,18,42935
203,1,57,0.672,0.63,4,-6.841,0,0.285,0.0791,0.0,0.167,0.354,75.286,171867,4,9,44237
204,0,68,0.712,0.891,6,-2.76,0,0.0401,0.00415,0.0,0.258,0.735,126.012,165704,4,13,44125
205,0,1,0.603,0.895,3,-6.93,1,0.0313,0.000532,0.0219,0.302,0.817,129.88,207093,4,5,41822
206,1,67,0.654,0.85,0,-5.719,1,0.0804,0.292,4.6e-05,0.0638,0.52,154.962,253067,4,7,42228
207,0,0,0.491,0.519,7,-7.692,1,0.0275,0.0493,0.00111,0.0879,0.192,75.809,285320,4,18,38276
208,0,43,0.579,0.815,11,-7.715,0,0.0406,0.000643,1.42e-05,0.147,0.722,140.008,249800,4,18,42455
209,1,48,0.544,0.81,11,-7.284,1,0.151,0.0663,4.85e-06,0.129,0.601,90.943,211041,4,7,44405
210,0,6,0.176,0.846,1,-7.898,1,0.076,0.00109,4.17e-05,0.112,0.658,201.748,167867,4,14,35708
211,0,67,0.829,0.915,8,-3.205,1,0.106,0.226,1.25e-05,0.246,0.779,118.903,203333,4,13,36159
212,0,59,0.372,0.442,4,-11.488,1,0.0289,0.714,8.68e-05,0.966,0.297,92.72,345627,4,13,39446
213,0,0,0.349,0.0844,8,-24.003,1,0.0281,0.989,0.871,0.16,0.139,94.012,302520,1,2,40889
214,0,62,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,188560,4,18,25418
215,0,7,0.592,0.223,0,-10.804,0,0.0455,0.969,0.827,0.0916,0.314,76.072,332080,4,10,42321
216,0,68,0.481,0.94,7,-5.204,1,0.066,0.000891,0.0,0.0939,0.66,96.493,189333,4,13,36660
217,0,50,0.715,0.674,0,-10.029,1,0.0377,0.0796,0.829,0.0916,0.41,122.028,350039,3,21,44489
218,0,52,0.822,0.618,6,-8.14,0,0.0287,0.364,0.147,0.101,0.816,102.602,257093,4,20,27028
219,1,87,0.734,0.57,7,-7.066,0,0.133,0.847,2.14e-05,0.112,0.689,129.953,95467,4,16,42970
220,0,0,0.696,0.767,5,-4.36,0,0.0382,0.71,0.000432,0.298,0.962,84.203,311120,4,19,41273
221,0,57,0.504,0.889,2,-4.533,1,0.0737,0.0489,0.0,0.19,0.367,165.047,205851,4,18,42291
222,0,0,0.649,0.961,7,-5.799,1,0.0603,0.000991,0.603,0.0678,0.592,126.001,251453,4,6,43120
223,0,2,0.575,0.783,9,-6.695,1,0.0689,0.623,2.53e-05,0.415,0.905,112.273,278467,4,19,42184
224,0,63,0.948,0.575,8,-4.536,1,0.0604,0.0044,0.0,0.0655,0.208,130.993,209240,4,4,43691
225,0,23,0.55,0.483,4,-14.89,1,0.0349,0.41,0.356,0.62,0.527,124.341,165707,4,18,34550
226,1,75,0.686,0.703,6,-6.141,0,0.0606,0.00728,0.0,0.0946,0.457,144.902,172005,4,9,43859
227,0,1,0.586,0.938,4,-5.835,1,0.0456,0.0163,0.00952,0.105,0.42,113.618,247253,4,3,39081
228,0,0,0.746,0.854,4,-7.132,1,0.101,0.285,7.71e-06,0.112,0.804,140.62,227533,4,18,28648
229,1,0,0.536,0.677,4,-5.384,0,0.364,0.00365,2.67e-05,0.685,0.475,106.99,208387,4,16,40509
230,0,64,0.541,0.341,9,-8.722,0,0.0473,0.727,0.0,0.0601,0.635,138.022,125960,3,13,32872
231,0,1,0.485,0.253,1,-11.92,1,0.0323,0.858,0.675,0.721,0.2,130.56,489293,3,10,37985
